onestop_id,spec,urls.static_current,urls.realtime_vehicle_positions,urls.realtime_trip_updates,urls.realtime_alerts,agencies,last_fetch_at,last_fetch_success,last_fetch_response_code,last_ok_fetch_at,last_ok_fetch_success,last_ok_fetch_response_code,most_recent_feed_version_sha1,most_recent_feed_version_fetched_at,tag_status,tag_unstable_url,tag_manual_import,adm0_name0,adm1_name0,adm0_name1,adm1_name1,adm0_name2,adm1_name2,adm0_name3,adm1_name3,adm0_name4,adm1_name4
f-9q9-caltrain,GTFS,https://data.trilliumtransit.com/gtfs/caltrain-ca-us/caltrain-ca-us.zip,,,,,2025-06-23T19:02:22.239956Z,True,200,2025-06-23T19:02:22.239956Z,True,200,8fb5e7b7fb3f15f0d28f24beffe1a4d75cacd9db,2025-06-10T01:40:49.826563Z,,,,,,,,,,,,,
f-9q9-bart,GTFS,http://www.bart.gov/dev/schedules/google_transit.zip,,,,,2025-06-23T19:21:25.432455Z,True,200,2025-06-23T19:21:25.432455Z,True,200,43a6fe91a027479e48c980b9f87b21fcae682f24,2025-06-12T22:17:04.685813Z,,,true,,,,,,,,,,
f-9q9-vta,GTFS,https://gtfs.vta.org/gtfs_vta.zip,,,,,2025-06-23T19:57:24.598675Z,True,200,2025-06-23T19:57:24.598675Z,True,200,dab0b673c7011971478107c6849c061ac40d3b3f,2025-04-22T17:28:01.663444Z,,,true,,,,,,,,,,
f-9q9-actransit,GTFS,https://api.actransit.org/transit/gtfs/download?token=2512B81107A09D2DC44895CDDC650D47,,,,,2025-06-23T19:16:35.620124Z,True,200,2025-06-23T19:16:35.620124Z,True,200,af9d64bad3c42eff394cc3b9aef16ba4e5e3959f,2025-06-15T10:26:26.819264Z,,,true,,,,,,,,,,
f-dr5r-nyctsubway,GTFS,http://web.mta.info/developers/data/nyct/subway/google_transit.zip,,,,MTA New York City Transit,2025-06-23T19:24:23.037647Z,True,200,2025-06-23T19:24:23.037647Z,True,200,857fcf566c735a57e0a3d774f0c041bc57b3f73e,2025-06-20T03:02:25.03954Z,,,,United States of America,New York,,,,,,,,
f-dr5r-mtanyctbusbrooklyn,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_brooklyn.zip,,,,MTA New York City Transit,2025-06-23T19:20:22.440875Z,True,200,2025-06-23T19:20:22.440875Z,True,200,61a91997a81fd2518e6c5fa5e812f64b8990ec5d,2025-05-15T15:27:18.489427Z,,,,United States of America,New York,,,,,,,,
f-dr5r-mtanyctbusmanhattan,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_manhattan.zip,,,,MTA New York City Transit,2025-06-23T19:58:33.338028Z,True,200,2025-06-23T19:58:33.338028Z,True,200,2d42104115e17abb34bae3130e894c0a1089e5ad,2025-05-15T15:43:40.433378Z,,,,United States of America,New York,,,,,,,,
f-dr5r-mtanyctbusstatenisland,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_staten_island.zip,,,,MTA New York City Transit,2025-06-23T19:17:35.897687Z,True,200,2025-06-23T19:17:35.897687Z,True,200,dbcefb8b29064ada7347f0d90a04ba3a7c09981b,2025-05-15T15:24:23.071839Z,,,,United States of America,New Jersey,United States of America,New York,,,,,,
f-dr5x-mtanyctbusqueens,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_queens.zip,,,,MTA New York City Transit,2025-06-23T19:05:31.764725Z,True,200,2025-06-23T19:05:31.764725Z,True,200,c96466458c55036cd6feeadc291bf5951d6c3274,2025-06-11T13:52:50.885739Z,,,,United States of America,New York,,,,,,,,
f-dr72-mtanyctbusbronx,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_bronx.zip,,,,MTA New York City Transit,2025-06-23T19:22:27.100107Z,True,200,2025-06-23T19:22:27.100107Z,True,200,1655aa280996e3fae82610be2b24f073112aa04c,2025-05-15T15:29:41.298572Z,,,,United States of America,New York,,,,,,,,
